BookMakers,name,link,homepage,description,logo
BetCity,БЕТСИТИ,https://betcity.ru/ru/line/bets?chmp%5B%5D=167030,https://betcity.ru/,"БК «БЕТСИТИ» — российская букмекерская компания, основанная в 2003 г. и осуществляющая деятельность по организации и проведению азартных игр в букмекерских конторах и тотализаторах. Компания предоставляет своим клиентам одну из самых широких линий, благодаря наличию собственного штата профессиональных аналитиков. Клиентами компании являются как весьма опытные «гуру» беттинга, так и начинающие игроки. Помимо основной деятельности БК «БЕТСИТИ» принимает активное участие в поддержке детских спортивных секций и школ, а также занимается благотворительностью в детских домах и интернатах.",https://1cupis.ru/upload/iblock/7b9/vttvcqqv9a26ww2rc50gog2lmqu36p5n.svg
FonBet,Фонбет,https://www.fon.bet/football-2022/,https://www.fon.bet/,"Букмекерская контора FON.BET – одна из старейших букмекерских компаний в России. Букмекерская контора FON.BET предлагает широкую линию спортивных событий для заключения пари, в том числе в формате «Лайв», а также возможность для зарегистрированных пользователей просмотра трансляций спортивных событий на сайте или в мобильном приложении FON.BET. Кроме того, Букмекерская контора FON.BET активно участвует в поддержке спорта, выступая спонсором ведущих российских и международных спортивных клубов.",https://1cupis.ru/upload/iblock/c99/3b6wpwf09otkes91r06ulc7ldvpnay9q.svg
LeonBet,ЛЕОН,https://leon.ru/bets/soccer/world/1970324836989529-world-cup-2022,https://leon.ru/,"БК «Леон» предлагает тысячи спортивных событий с высокими коэффициентами для пари, быстрые выплаты и расчет ставок, а также удобное мобильное приложение для iOS и Android. БК «Леон» — это проверенный букмекер с круглосуточной службой поддержки и регулярными акциями, бонусами и фрибетами, которые доступны как для новичков, так и для действующих клиентов.",https://1cupis.ru/upload/iblock/e08/blk5te1bxcahx7l1xd40d8f0obrk1qsv.svg
OlympBet,OLIMPBET,https://www.olimp.bet/line/1/8100344,https://www.olimp.bet/,"БК «Олимп» позиционирует себя как «народный букмекер», поэтому старается всегда действовать в интересах игроков. БК «Олимп» постоянно работает над улучшением сервисов и гордится своим сайтом и мобильным приложением. БК «Олимп» нашел признание не только у клиентов, но и в профессиональном сообществе. Контора не раз становилась лауреатом отраслевой премии РБ, в том числе в престижных номинациях «Самый надежный букмекер» и «Лучшее мобильное приложение».",https://1cupis.ru/upload/iblock/496/c4samck0uuaueyietx2z12ofcyg2anfa.svg
Pari,PARI,https://www.pari.ru/sports/?source=4&featured=92,https://www.pari.ru/,"БК «Pari» — российская компания, представляющая на отечественном рынке один из старейших в СНГ букмекерских брендов. Постоянное совершенствование технологий предоставления услуг гарантирует клиентам Pari надежность и безопасность, быстрые выплаты и расчёт ставок, а также поддержку клиентов в режиме 24/7. Ежедневно компания предлагает клиентам широкую линию для pre-match и live ставок на самые разнообразные события из мира спорта, шоу-бизнеса и политики с высокими коэффициентами.",https://1cupis.ru/upload/iblock/145/aticjcyh0g3yp6uisxl58r1eufgsee16/pari_transparent.svg
SportBet,SportBet,https://sportbet.ru/sport?lc=1&lsc=2490&from_left_menu=&ss=all,https://sportbet.ru/,"БК «СпортБет» гарантирует клиентам максимально удобные условия для совершения ставок, качественно новый уровень клиентской поддержки 24/7, отличается инновационным подходом к сопровождению клиентов на всех этапах взаимодействия с сайтом. Букмекерская компания «СпортБет» — это новый уровень по организации и проведению азартных игр с помощью передовых технологий для беттинга.",https://1cupis.ru/upload/iblock/45f/xoq6j8d1pgx3uwejk0rnpcagm6833hto.svg
ZenitBet,Зенит,https://zenitnow199.top/ru/line/popular/l_1048_champions-tournament,https://zenit.win/,"БК «Зенит» — российская букмекерская компания. БК «Зенит» имеет широкую сеть букмекерских клубов по всей России, большой опыт и долгую историю. Компания предлагает любителям спорта высокие коэффициенты, качественный сервис и огромный выбор спортивных событий.",https://1cupis.ru/upload/iblock/f98/vzwt55r91382uokm1role3jcyiy6f4q9.svg
