Bookmakers,Competitions,Date_match,Team_1,Team_2,W1,Draw,W2,Marginal_
1xstavka,World cup 2022,27.11.2022 22:00,Spain,Germany,"2,51","3,44","2,912","3,2510642"
fonbet,World cup 2022,27.11.2022 22:00,Spain,Germany,"2,45","3,4","2,9","4,7108499"
1xstavka,World cup 2022,28.11.2022 13:00,Cameroon,Serbia,"4,5","3,34","1,96","3,1827501"
fonbet,World cup 2022,28.11.2022 13:00,Cameroon,Serbia,"4,4","3,35","1,92","4,6613523"
1xstavka,World cup 2022,28.11.2022 16:00,South Korea,Ghana,"2,73","2,99","2,99","3,5196687"
fonbet,World cup 2022,28.11.2022 16:00,South Korea,Ghana,"2,7","2,95","2,95","4,8336472"
1xstavka,World cup 2022,28.11.2022 19:00,Brazil,Switzerland,"1,53","4,24",7,"3,2300971"
fonbet,World cup 2022,28.11.2022 19:00,Brazil,Switzerland,"1,5","4,15","7,1","4,8475593"
1xstavka,World cup 2022,28.11.2022 22:00,Portugal,Uruguay,"2,08","3,5","3,76","3,2440963"
fonbet,World cup 2022,28.11.2022 22:00,Portugal,Uruguay,"2,03","3,4","3,85","4,6468744"
1xstavka,World cup 2022,29.11.2022 18:00,Ecuador,Senegal,"2,995","3,2","2,57","3,5494875"
fonbet,World cup 2022,29.11.2022 18:00,Ecuador,Senegal,"2,95","3,2","2,55","4,3639914"
1xstavka,World cup 2022,29.11.2022 18:00,Netherlands,Qatar,"1,35",5,11,"3,1649832"
fonbet,World cup 2022,29.11.2022 18:00,Netherlands,Qatar,"1,32","5,2",10,"4,9883450"
1xstavka,World cup 2022,29.11.2022 22:00,Iran,USA,"3,48","3,4","2,22","3,1924419"
fonbet,World cup 2022,29.11.2022 22:00,Iran,USA,"3,45","3,35","2,15","5,3478814"
1xstavka,World cup 2022,29.11.2022 22:00,Wales,England,"5,9",4,"1,6","4,4491525"
fonbet,World cup 2022,29.11.2022 22:00,Wales,England,"6,1",4,"1,58","4,6845819"
1xstavka,World cup 2022,30.11.2022 18:00,Australia,Denmark,"6,35","3,74","1,62","4,2143945"
fonbet,World cup 2022,30.11.2022 18:00,Australia,Denmark,"6,5","3,75","1,6","4,5512821"
1xstavka,World cup 2022,30.11.2022 18:00,Tunisia,France,"13,5","5,6","1,26","4,6296296"
fonbet,World cup 2022,30.11.2022 18:00,Tunisia,France,14,"5,6","1,25","5,0000000"
1xstavka,World cup 2022,30.11.2022 22:00,Poland,Argentina,"4,9",4,"1,7","4,2316927"
fonbet,World cup 2022,30.11.2022 22:00,Poland,Argentina,5,4,"1,68","4,5238095"
1xstavka,World cup 2022,30.11.2022 22:00,Saudi Arabia,Mexico,"6,2","4,14","1,57","3,9778891"
fonbet,World cup 2022,30.11.2022 22:00,Saudi Arabia,Mexico,"6,4","4,15","1,55","4,2375146"
fonbet,World cup 2022,1.12.2022 18:00,Canada,Morocco,"3,25","3,3","2,3","4,5505219"
1xstavka,World cup 2022,1.12.2022 18:00,Canada,Morocco,"3,3","3,3","2,34","3,3411033"
fonbet,World cup 2022,1.12.2022 18:00,Croatia,Belgium,"3,95","3,65","1,9","5,3452949"
1xstavka,World cup 2022,1.12.2022 18:00,Croatia,Belgium,"3,96","3,7","1,96","3,2999604"
fonbet,World cup 2022,1.12.2022 22:00,Costa Rica,Germany,"10,5","5,3","1,3","5,3148110"
1xstavka,World cup 2022,1.12.2022 22:00,Costa Rica,Germany,"11,5","5,1","1,34","2,9303610"
fonbet,World cup 2022,1.12.2022 22:00,Japan,Spain,10,"5,4","1,3","5,4415954"
1xstavka,World cup 2022,1.12.2022 22:00,Japan,Spain,12,"5,5","1,3","3,4382284"
fonbet,World cup 2022,2.12.2022 18:00,Ghana,Uruguay,"4,8","3,6","1,78","4,7908864"
1xstavka,World cup 2022,2.12.2022 18:00,Ghana,Uruguay,"4,72","3,6","1,8","4,5197740"
fonbet,World cup 2022,2.12.2022 18:00,South Korea,Portugal,9,"4,7","1,38","4,8514750"
1xstavka,World cup 2022,2.12.2022 18:00,South Korea,Portugal,"8,8","4,7","1,39","4,5826782"
fonbet,World cup 2022,2.12.2022 22:00,Cameroon,Brazil,"9,5","5,2","1,35","3,8311591"
1xstavka,World cup 2022,2.12.2022 22:00,Cameroon,Brazil,"9,3","5,2","1,36","3,5128692"
fonbet,World cup 2022,2.12.2022 22:00,Serbia,Switzerland,"2,8","3,45","2,5","4,6997930"
1xstavka,World cup 2022,2.12.2022 22:00,Serbia,Switzerland,"2,8","3,44","2,5","4,7840532"
1xstavka,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,38","2,136","2,7180677"
goldenbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,38","3,22","2,14","7,3706714"
betcity,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,9","3,3","2,14","2,6730279"
leon,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,71","3,29","2,1","4,9683623"
mostbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,8","3,3","2,1","4,2378674"
marathonbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,9","3,48","2,18","0,2482175"
winline,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,45","3,3","2,19","4,9506380"
olimpbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,53","3,33","2,22","3,4036870"
ligastavok,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,45","3,3","2,25","3,7329820"
baltbet,World cup 2022,20.11.2022 19:00,Qatar,Ecuador,"3,6","3,25","2,15","5,0586365"
