,home_team,away_team,lm_away,lm_draw,lm_home,knn_away,knn_draw,knn_home,rf_away,rf_draw,rf_home,gb_away,gb_draw,gb_home,lgbm_away,lgbm_draw,lgbm_home,xgb_away,xgb_draw,xgb_home,cb_away,cb_draw,cb_home,sc_away,sc_draw,sc_home,nn_away,nn_draw,nn_home,mean_away,mean_draw,mean_home
0,Qatar,Ecuador,0.9332049096488149,0.06481198954754841,0.0019831008036367112,0.6,0.3,0.1,0.4014534082306402,0.3310567271405837,0.2674898646287765,0.5258275580758858,0.2860954694446105,0.18807697247950375,0.5996271719069929,0.1479958175825715,0.2523770105104356,0.6460317,0.26034042,0.093627945,0.45809786570989625,0.25399029614879187,0.2879118381413119,0.7503969,0.032042053,0.21756108,0.98402184,0.015978208,2.7925856e-16,0.6554068156782695,0.18803455362939092,0.1565586458004614
1,Qatar,Senegal,0.9246693159427842,0.07409707513218171,0.0012336089250341168,0.6,0.1,0.3,0.5718401889673537,0.26297899673381214,0.16518081429883433,0.7095857763191838,0.20371365174092204,0.08670057193989425,0.7461779509788325,0.0901198844699081,0.16370216455125955,0.8135125,0.14245091,0.044036653,0.6377126685436968,0.13866374734469333,0.2236235841116099,0.93927294,0.009353639,0.05137345,0.99300426,0.0069957315,6.6751825e-18,0.7706417341620946,0.11426373770378742,0.11509453832692618
2,Qatar,Netherlands,0.9655821717110458,0.03402132280486547,0.0003965054840888522,0.9,0.1,0.0,0.6350903781311377,0.24477579405136188,0.12013382781750048,0.7583766996306596,0.15374961981423169,0.08787368055510873,0.8278995122867242,0.07487927080505,0.09722121690822574,0.89029026,0.08991969,0.019790001,0.7786122850613536,0.162334528616947,0.05905318632169953,0.96909475,0.016625712,0.014279588,0.99585104,0.004149009,3.2939126e-19,0.8578663444764131,0.09782832701246891,0.044305334047313336
3,Ecuador,Senegal,0.25607673992324687,0.35117289842399607,0.3927503616527572,0.6,0.2,0.2,0.4497368028025557,0.24585996629787316,0.3044032308995715,0.3575111961205601,0.2968651193652699,0.3456236845141701,0.29267335264337957,0.39074039709590636,0.316586250260714,0.24000289,0.34078383,0.41921324,0.3233929670331955,0.15702382076492521,0.5195832122018793,0.41879824,0.19863112,0.38257068,0.81336457,0.0007620051,0.1858734,0.416839638599475,0.24242657380193786,0.3407337847787494
4,Ecuador,Netherlands,0.48191535421878734,0.29058216936557274,0.22750247641563995,0.4,0.2,0.4,0.5384766882954704,0.2985288628170091,0.16299444888752065,0.595063499358545,0.2305230489726047,0.1744134516688503,0.5829627897390519,0.23578422608118685,0.1812529841797612,0.562375,0.2438283,0.1937967,0.3990394297921876,0.4720461151790922,0.12891445502872007,0.54603344,0.21166547,0.24230114,0.98833907,0.0005475801,0.011113322,0.5660228087766441,0.24261175173070784,0.19136544100604727
5,Senegal,Netherlands,0.37792458091661607,0.3250885219336154,0.2969868971497685,0.4,0.3,0.3,0.44189755546402554,0.28259094369592164,0.2755115008400528,0.3808894655954171,0.3023940116485751,0.31671652275600776,0.3679208145921067,0.32673379694320714,0.3053453884646862,0.357617,0.31059796,0.33178505,0.2323677790947982,0.3713604367407168,0.396271784164485,0.34088966,0.36823556,0.29087475,0.6439245,0.0005709502,0.3555045,0.3937145915208909,0.28750801951430754,0.31877737873318823
6,England,Iran,0.06883832721916248,0.19016677699524528,0.7409948957855922,0.1,0.1,0.8,0.08238787464622145,0.1221960995857527,0.7954160257680257,0.06619755692677574,0.10400994203218143,0.8297925010410427,0.05540150951098207,0.07662028807614997,0.8679782024128679,0.05507296,0.083414085,0.861513,0.06522625871016267,0.026607744552143986,0.9081659967376933,0.029407185,0.11575581,0.854837,8.38746e-05,2.4579185e-07,0.99991584,0.058068393966112,0.09097455484181688,0.8509570532183243
7,England,USA,0.11542676893088868,0.2118836876929246,0.6726895433761868,0.1,0.3,0.6,0.06489403838434972,0.16624510928288067,0.7688608523327699,0.07437593757672244,0.15274309859902455,0.772880963824253,0.03783411679246067,0.13808144061202665,0.8240844425955127,0.030081049,0.17251915,0.79739976,0.04012034484983021,0.056832888036229705,0.90304676711394,0.027823724,0.17625628,0.79591995,0.0011130251,2.8878014e-06,0.99888414,0.05462988934633717,0.15272939372647795,0.7926407138619099
8,England,Wales,0.12916281682878603,0.25182294304019226,0.6190142401310217,0.1,0.2,0.7,0.0543150077603216,0.15195806850848753,0.7937269237311911,0.06425687199867391,0.15108100996266954,0.7846621180386565,0.038042862906164286,0.1645747868476532,0.7973823502461824,0.025771743,0.19497858,0.77924967,0.014212821605508826,0.055757275460882584,0.9300299029336087,0.0075216675,0.057315208,0.93516314,0.0009511386,3.7132759e-06,0.9990451,0.04824832554665328,0.13638795388804353,0.8153637130538877
9,Iran,USA,0.3260743273807588,0.3090434060729488,0.36488226654629236,0.6,0.4,0.0,0.3344550614363082,0.26366349382550547,0.40188144473818693,0.32727979418973563,0.21664476977398558,0.4560754360362787,0.3305133991730904,0.19052556161693568,0.478961039209974,0.27473706,0.35205835,0.37320456,0.19122791151438295,0.18955607208010014,0.6192160164055168,0.22856733,0.17661147,0.5948212,0.7035517,0.0015111816,0.29493716,0.36848962171617816,0.2332904782437291,0.39821990447681005
