,home_team,away_team,lm_away,lm_home,knn_away,knn_home,rf_away,rf_home,gb_away,gb_home,lgbm_away,lgbm_home,xgb_away,xgb_home,cb_away,cb_home,sc_away,sc_home,nn_away,nn_home,mean_away,mean_home
0,Qatar,Ecuador,0.9954874080670782,0.004512591932921702,0.8888888888888888,0.1111111111111111,0.6533455100343479,0.3466544899656524,0.6796810481535398,0.3203189518464602,0.7748918670570909,0.22510813294290913,0.53087854,0.46912143,0.7861495955316558,0.2138504044683443,0.94914395,0.050856076,1.0,5.4044396e-09,0.8064963119730186,0.19350368779963234
1,Qatar,Senegal,0.9973459508986199,0.0026540491013801507,0.6666666666666666,0.3333333333333333,0.7636411406520325,0.23635885934796855,0.9035916644841606,0.09640833551583938,0.8607034461499039,0.1392965538500961,0.7971351,0.2028649,0.8511248175750067,0.14887518242499317,0.94648093,0.05351907,1.0,6.070279e-10,0.8651877478830802,0.134812253840052
2,Qatar,Netherlands,0.9987458071933767,0.0012541928066233852,1.0,0.0,0.8186486255231592,0.18135137447684113,0.9260652739218443,0.07393472607815567,0.8940184255894947,0.1059815744105053,0.8777847,0.1222153,0.9516128533010023,0.048387146698997574,0.98487085,0.015129137,1.0,1.0067352e-10,0.9390829517302967,0.060917050247014756
3,Ecuador,Senegal,0.6117787090219846,0.3882212909780154,0.8888888888888888,0.1111111111111111,0.731816404676824,0.2681835953231747,0.7023339957065382,0.2976660042934618,0.6762386133105082,0.32376138668949184,0.64622927,0.35377076,0.5649260305925243,0.43507396940747567,0.6712415,0.32875845,0.89391947,0.10608057,0.7097080998976646,0.2902919042415466
4,Ecuador,Netherlands,0.7695535392128116,0.23044646078718842,0.6666666666666666,0.3333333333333333,0.8344656398477028,0.1655343601522957,0.8388301667232122,0.16116983327678777,0.7891589837501736,0.21084101624982637,0.8539239,0.14607608,0.7598664886611126,0.24013351133888744,0.91543806,0.08456192,0.9806991,0.019300919,0.8231780644025082,0.1768219376670973
5,Senegal,Netherlands,0.7069940605341606,0.2930059394658394,0.7777777777777778,0.2222222222222222,0.746945997353007,0.2530540026469918,0.69898211074871,0.3010178892512901,0.6772002649171293,0.32279973508287074,0.68109834,0.3189017,0.7038891175412002,0.2961108824587998,0.7963792,0.20362082,0.9111019,0.08889812,0.7444854174519931,0.2555145891707451
6,England,Iran,0.24586779609545723,0.7541322039045427,0.2222222222222222,0.7777777777777778,0.24621213872484174,0.7537878612751574,0.0793752510092205,0.9206247489907795,0.14811843218632936,0.8518815678136706,0.12889916,0.87110084,0.08724082867124543,0.9127591713287546,0.07068682,0.9293132,0.033891715,0.96610826,0.1402793731372362,0.8597206243792369
7,England,USA,0.327729388037699,0.672270611962301,0.3333333333333333,0.6666666666666666,0.25840441789119484,0.7415955821088054,0.09957827342900305,0.900421726570997,0.2640283820622653,0.7359716179377347,0.24488163,0.75511837,0.20344510917136496,0.7965548908286351,0.43757486,0.56242514,0.13287096,0.867129,0.25576070606199,0.7442392922823254
8,England,Wales,0.383386837229442,0.616613162770558,0.3333333333333333,0.6666666666666666,0.239710978891248,0.7602890211087521,0.09876276210180901,0.901237237898191,0.26783888207300643,0.7321611179269936,0.20316839,0.7968316,0.09787927781922855,0.9021207221807714,0.70969105,0.29030895,0.16428971,0.83571035,0.2775623582448672,0.7224376483778712
9,Iran,USA,0.6379558780921093,0.36204412190789065,1.0,0.0,0.599548244762576,0.4004517552374241,0.3856330680713417,0.6143669319286583,0.578491599684811,0.42150840031518894,0.5976916,0.4023084,0.29961856630117006,0.70038143369883,0.51394594,0.48605403,0.89907855,0.10092143,0.6124403819530663,0.3875596122520377
10,Iran,Wales,0.6920622799188569,0.30793772008114306,0.5555555555555556,0.4444444444444444,0.6214708442890751,0.37852915571092555,0.5136802769707745,0.4863197230292256,0.681096649904254,0.318903350095746,0.7961359,0.2038641,0.42144416612744623,0.5785558338725538,0.5050813,0.49491873,0.9195454,0.0804546,0.6340080425779386,0.36599196238911513
11,USA,Wales,0.5791494446466815,0.42085055535331845,0.6666666666666666,0.3333333333333333,0.49738912716431516,0.5026108728356847,0.30786822126371627,0.6921317787362837,0.40678159047403295,0.593218409525967,0.4995587,0.5004413,0.1362039606760604,0.8637960393239396,0.72920144,0.27079856,0.69462174,0.30537823,0.5019378751017822,0.49806212158684865
12,Argentina,Saudi Arabia,0.1268921163967974,0.8731078836032027,0.2222222222222222,0.7777777777777778,0.21624408262661268,0.7837559173733873,0.12434494249718997,0.87565505750281,0.14753574604294173,0.8524642539570583,0.14030701,0.859693,0.029547225857009817,0.9704527741429902,0.07785374,0.92214626,0.00582719,0.99417275,0.1211971415570366,0.8788028519754456
13,Argentina,Mexico,0.3360259135261206,0.6639740864738793,0.2222222222222222,0.7777777777777778,0.29246698316420444,0.707533016835796,0.13398298101042472,0.8660170189895753,0.2433432524690552,0.7566567475309448,0.19843322,0.8015668,0.06690273070356047,0.9330972692964395,0.07097739,0.9290226,0.14821781,0.85178214,0.19028583394167572,0.8097141610912705
14,Argentina,Poland,0.34484634360145155,0.6551536563985484,0.5555555555555556,0.4444444444444444,0.3448429918678061,0.6551570081321945,0.28425239103537003,0.71574760896463,0.33063358882227745,0.6693664111777226,0.28875452,0.7112455,0.11654381326065459,0.8834561867393453,0.2535342,0.7464658,0.0911227,0.90887725,0.2900095673905533,0.7099904276423931
15,Saudi Arabia,Mexico,0.8018522287045698,0.19814777129543018,0.7777777777777778,0.2222222222222222,0.7469196294166368,0.2530803705833622,0.7136705433550047,0.2863294566449953,0.721692927752466,0.27830707224753404,0.80757284,0.19242714,0.6330677070970806,0.36693229290291934,0.8181977,0.18180224,0.98280245,0.017197562,0.7781726481786759,0.2218273483029943
16,Saudi Arabia,Poland,0.8080199434248407,0.19198005657515935,0.7777777777777778,0.2222222222222222,0.7320598166920596,0.26794018330793945,0.7999991591775679,0.20000084082243214,0.7113055020132371,0.28869449798676294,0.67530483,0.32469517,0.8575884821995994,0.1424115178004005,0.787002,0.21299799,0.9705247,0.029475326,0.7910646962991488,0.20893531135839222
17,Mexico,Poland,0.5300341545390631,0.46996584546093695,0.5555555555555556,0.4444444444444444,0.5284101795708488,0.47158982042915126,0.5456089356793203,0.4543910643206796,0.5179356248795968,0.4820643751204032,0.43501484,0.56498516,0.5109870729846954,0.4890129270153047,0.6028184,0.39718157,0.50956523,0.49043477,0.526214447867127,0.4737855521328731
18,France,Australia,0.25452301405446515,0.7454769859455348,0.0,1.0,0.23708080157694658,0.7629191984230546,0.17011223258990327,0.8298877674100967,0.1615967524603984,0.8384032475396016,0.1068092,0.8931908,0.08689644998680754,0.9131035500131924,0.14766169,0.8523383,0.02474224,0.9752577,0.13215804172829734,0.8678419510280828
