iter	Passed	Remaining
399	19055	28583
400	19088	28514
401	19121	28445
402	19154	28375
403	19187	28305
404	19221	28238
405	19252	28166
406	19284	28097
407	19320	28033
408	19354	27966
409	19387	27898
410	19419	27829
411	19455	27766
412	19487	27697
413	19519	27629
414	19552	27562
415	19584	27493
416	19618	27428
417	19653	27364
418	19686	27298
419	19720	27232
420	19751	27164
421	19785	27099
422	19819	27035
423	19854	26972
424	19888	26907
425	19921	26842
426	19952	26775
427	19986	26710
428	20019	26645
429	20054	26583
430	20089	26522
431	20121	26456
432	20155	26393
433	20187	26327
434	20223	26267
435	20255	26202
436	20288	26137
437	20322	26075
438	20358	26015
439	20391	25953
440	20424	25889
441	20458	25827
442	20492	25765
443	20526	25703
444	20560	25642
445	20594	25581
446	20626	25517
447	20662	25458
448	20695	25396
449	20732	25339
450	20767	25279
451	20803	25221
452	20839	25163
453	20872	25102
454	20906	25041
455	20941	24982
456	20973	24920
457	21006	24859
458	21039	24797
459	21071	24736
460	21105	24676
461	21137	24615
462	21173	24557
463	21206	24496
464	21240	24437
465	21271	24375
466	21305	24316
467	21340	24258
468	21374	24199
469	21407	24140
470	21439	24079
471	21472	24020
472	21504	23959
473	21537	23900
474	21571	23841
475	21604	23783
476	21639	23725
477	21672	23667
478	21706	23609
479	21738	23550
480	21773	23493
481	21806	23435
482	21839	23377
483	21874	23320
484	21907	23262
485	21941	23205
486	21975	23148
487	22009	23091
488	22041	23033
489	22075	22976
490	22109	22920
491	22144	22864
492	22179	22809
493	22212	22752
494	22247	22696
495	22279	22639
496	22313	22582
497	22346	22525
498	22381	22471
499	22416	22416
500	22448	22358
501	22481	22302
502	22517	22248
503	22551	22193
504	22582	22135
505	22617	22080
506	22651	22025
507	22681	21967
508	22718	21915
509	22752	21860
510	22786	21805
511	22822	21752
512	22853	21695
513	22886	21639
514	22918	21583
515	22951	21527
516	22986	21474
517	23020	21420
518	23052	21364
519	23085	21309
520	23120	21256
521	23153	21201
522	23187	21148
523	23221	21094
524	23256	21041
525	23290	20988
526	23323	20933
527	23359	20881
528	23393	20829
529	23427	20774
530	23466	20726
531	23496	20670
532	23532	20618
533	23565	20564
534	23599	20511
535	23634	20460
536	23667	20405
537	23698	20350
538	23733	20299
539	23768	20247
540	23800	20193
541	23834	20140
542	23869	20089
543	23902	20036
544	23936	19984
545	23970	19931
546	24004	19879
547	24036	19825
548	24070	19773
549	24104	19721
550	24136	19668
551	24171	19617
552	24206	19566
553	24238	19513
554	24271	19461
555	24305	19409
556	24336	19355
557	24371	19304
558	24406	19254
559	24440	19202
560	24476	19153
561	24510	19102
562	24545	19052
563	24577	18999
564	24611	18948
565	24644	18896
566	24676	18844
567	24710	18794
568	24746	18744
569	24779	18693
570	24819	18647
571	24852	18595
572	24884	18544
573	24918	18493
574	24950	18441
575	24985	18391
576	25020	18342
577	25052	18290
578	25086	18240
579	25121	18191
580	25152	18139
581	25186	18089
582	25222	18040
583	25252	17988
584	25286	17937
585	25320	17888
586	25354	17838
587	25387	17788
588	25419	17737
589	25452	17687
590	25485	17636
591	25519	17588
592	25553	17538
593	25586	17488
594	25620	17438
595	25653	17389
596	25686	17339
597	25720	17290
598	25755	17241
599	25790	17193
600	25822	17143
601	25856	17094
602	25889	17045
603	25922	16995
604	25956	16946
605	25989	16897
606	26022	16848
607	26056	16799
608	26088	16749
609	26125	16703
610	26158	16654
611	26191	16604
612	26223	16555
613	26258	16507
614	26292	16459
615	26324	16410
616	26359	16362
617	26393	16314
618	26425	16265
619	26458	16216
620	26492	16168
621	26524	16119
622	26560	16072
623	26591	16023
624	26626	15975
625	26666	15931
626	26700	15883
627	26732	15835
628	26768	15788
629	26803	15741
630	26836	15693
631	26869	15645
632	26903	15598
633	26937	15550
634	26973	15504
635	27007	15456
636	27039	15408
637	27075	15362
638	27106	15313
639	27137	15264
640	27172	15218
641	27206	15171
